Iteration	Y	var_1	var_2	var_3
1.0	9.72515792896	3.0	3.0	1.0
2.0	8.22981985263	2.0	4.0	5.0
3.0	8.19312216178	3.0	4.0	5.0
4.0	8.16845174532	3.0	3.0	5.0
5.0	8.20781852953	3.0	4.0	5.0
6.0	8.28395712407	0.0	1.0	5.0
7.0	8.22732441253	5.0	5.0	5.0
8.0	8.30907027097	0.0	5.0	5.0
9.0	8.13558736829	2.0	2.0	5.0
10.0	8.2463110125	0.0	3.0	5.0
11.0	8.14336471178	1.0	2.0	5.0
12.0	8.17364232591	2.0	3.0	5.0
13.0	8.19107255127	1.0	1.0	5.0
14.0	8.20974622328	4.0	4.0	5.0
15.0	8.23840005505	3.0	5.0	5.0
16.0	8.19707026547	1.0	3.0	5.0
17.0	8.22652833355	4.0	5.0	5.0
18.0	8.2467707535	0.0	2.0	5.0
19.0	8.26545460891	2.0	5.0	5.0
20.0	8.2363645829	1.0	4.0	5.0
21.0	8.27272979882	0.0	4.0	5.0
22.0	8.1922895767	1.0	1.0	4.0
23.0	8.12408392257	1.0	2.0	4.0
24.0	8.24124563675	0.0	2.0	4.0
25.0	8.15626693774	2.0	2.0	4.0
26.0	8.20276571878	1.0	3.0	4.0
27.0	8.15043910313	2.0	3.0	4.0
28.0	8.17094317291	3.0	3.0	4.0
29.0	8.20190470986	3.0	4.0	4.0
30.0	8.19947203215	2.0	4.0	4.0
