Iteration	Y	var_1	var_2	var_3
1.0	-2.04794129241	1.0	2.0	5.0
2.0	-2.04342278136	0.0	1.0	4.0
3.0	-2.04549961344	4.0	5.0	3.0
4.0	-2.04800306718	4.0	5.0	2.0
5.0	-2.03919521698	0.0	2.0	1.0
6.0	-2.0499382599	4.0	5.0	1.0
7.0	-2.04542199533	3.0	5.0	1.0
8.0	-2.04380463072	1.0	3.0	5.0
9.0	-2.04512735709	3.0	4.0	2.0
10.0	-2.05602797742	4.0	5.0	5.0
11.0	-2.0463490386	3.0	5.0	5.0
12.0	-2.04747234052	4.0	5.0	4.0
13.0	-2.03568904709	0.0	5.0	3.0
14.0	-2.04632224169	3.0	4.0	5.0
15.0	-2.05282562594	2.0	3.0	3.0
16.0	-2.04734660922	2.0	3.0	4.0
17.0	-2.04896788135	2.0	3.0	2.0
18.0	-2.05238047778	1.0	3.0	3.0
19.0	-2.04889491946	1.0	2.0	3.0
20.0	-2.04738463104	2.0	4.0	3.0
21.0	-2.04077765719	1.0	3.0	2.0
22.0	-2.03816419614	0.0	3.0	4.0
23.0	-2.0479509658	1.0	5.0	1.0
24.0	-2.03363307475	0.0	5.0	1.0
25.0	-2.04823487714	2.0	4.0	1.0
26.0	-2.05018712532	2.0	5.0	1.0
27.0	-2.05568618121	2.0	5.0	2.0
28.0	-2.05247212448	2.0	5.0	3.0
29.0	-2.05484037585	3.0	5.0	3.0
30.0	-2.04691410468	3.0	5.0	2.0
31.0	-2.04060297482	3.0	5.0	4.0
32.0	-2.04924991679	2.0	4.0	2.0
33.0	-2.05350237442	3.0	4.0	3.0
34.0	-2.04354951372	1.0	5.0	5.0
35.0	-2.04207515356	1.0	5.0	2.0
36.0	-2.04871047837	1.0	2.0	4.0
37.0	-2.03511361686	0.0	1.0	5.0
38.0	-2.03323330395	0.0	1.0	2.0
39.0	-2.04292831694	2.0	3.0	1.0
40.0	-2.05718462733	3.0	4.0	4.0
41.0	-2.04555973091	2.0	4.0	4.0
42.0	-2.04110759519	0.0	5.0	5.0
43.0	-2.04831204675	2.0	3.0	5.0
44.0	-2.04384648067	3.0	4.0	1.0
45.0	-2.04601776076	1.0	4.0	1.0
46.0	-2.05067123995	1.0	4.0	3.0
47.0	-2.04264030327	1.0	4.0	4.0
48.0	-2.04038894526	0.0	3.0	3.0
49.0	-2.04773370614	2.0	4.0	5.0
50.0	-2.04523849481	2.0	5.0	5.0
51.0	-2.05186829546	1.0	3.0	4.0
52.0	-2.04947988301	1.0	4.0	2.0
53.0	-2.04464945183	2.0	5.0	4.0
54.0	-2.04631458803	1.0	5.0	3.0
55.0	-2.03446662905	0.0	3.0	1.0
56.0	-2.04671031136	1.0	2.0	1.0
57.0	-2.05104248399	1.0	2.0	2.0
58.0	-2.03993072217	0.0	4.0	5.0
59.0	-2.02898663502	0.0	2.0	3.0
60.0	-2.05127661221	1.0	5.0	4.0
61.0	-2.04048876323	0.0	5.0	4.0
62.0	-2.03075891742	0.0	1.0	1.0
63.0	-2.03972997933	0.0	2.0	5.0
64.0	-2.0296185348	0.0	4.0	3.0
65.0	-2.04715890277	1.0	4.0	5.0
66.0	-2.0487353309	1.0	3.0	1.0
67.0	-2.0400688729	0.0	3.0	5.0
68.0	-2.03666792002	0.0	1.0	3.0
69.0	-2.03908441541	0.0	2.0	4.0
70.0	-2.04091443614	0.0	4.0	1.0
71.0	-2.04502567186	0.0	4.0	2.0
72.0	-2.03201214311	0.0	3.0	2.0
73.0	-2.03472450548	0.0	5.0	2.0
74.0	-2.0372420131	0.0	4.0	4.0
75.0	-2.02939723567	0.0	2.0	2.0
