Iteration	Y	var_1	var_2	var_3
1.0	16.2076806321	0.0	11.0	6.0
2.0	16.2076806321	0.0	10.0	3.0
3.0	15.8075798935	0.0	4.0	2.0
4.0	15.2919386645	0.0	3.0	9.0
5.0	16.007223906	0.0	5.0	5.0
6.0	15.4027574868	0.0	2.0	10.0
7.0	15.8075798935	0.0	4.0	10.0
8.0	15.4027574868	0.0	2.0	8.0
9.0	15.4027574868	0.0	2.0	9.0
10.0	15.2919386645	0.0	3.0	8.0
11.0	15.3912725319	0.0	1.0	1.0
12.0	15.3912725319	0.0	1.0	4.0
13.0	15.3912725319	0.0	1.0	6.0
14.0	15.3912725319	0.0	1.0	11.0
15.0	15.3912725319	0.0	1.0	2.0
16.0	15.2919386645	0.0	3.0	7.0
17.0	15.4027574868	0.0	2.0	6.0
18.0	16.2076806321	0.0	11.0	11.0
19.0	15.8075798935	0.0	4.0	8.0
20.0	15.4027574868	0.0	2.0	7.0
21.0	15.3912725319	0.0	1.0	5.0
22.0	15.4027574868	0.0	2.0	11.0
23.0	15.4027574868	0.0	2.0	1.0
24.0	15.4027574868	0.0	2.0	3.0
25.0	15.3912725319	0.0	1.0	3.0
26.0	15.2919386645	0.0	3.0	6.0
27.0	15.2919386645	0.0	3.0	5.0
28.0	15.4027574868	0.0	2.0	5.0
29.0	15.2919386645	0.0	3.0	4.0
30.0	15.4027574868	0.0	2.0	4.0
31.0	15.3912725319	0.0	1.0	10.0
32.0	15.4027574868	0.0	2.0	2.0
33.0	15.3912725319	0.0	1.0	8.0
34.0	15.3912725319	0.0	1.0	7.0
35.0	15.3912725319	0.0	1.0	9.0
36.0	15.2919386645	0.0	3.0	3.0
37.0	16.2076806321	0.0	11.0	1.0
38.0	15.2919386645	0.0	3.0	11.0
39.0	15.2919386645	0.0	3.0	10.0
40.0	15.8075798935	0.0	4.0	4.0
