Iteration	Y	var_1	var_2	var_3
1.0	15.107606398	0.0	1.0	5.0
2.0	14.7390897065	3.0	7.0	8.0
3.0	14.9678403366	2.0	5.0	4.0
4.0	15.4022257244	0.0	2.0	10.0
5.0	15.378490411	0.0	11.0	7.0
6.0	15.6823245848	3.0	7.0	7.0
7.0	15.6546623761	3.0	7.0	9.0
8.0	15.3296184594	2.0	4.0	4.0
9.0	15.6534959926	2.0	6.0	4.0
10.0	15.1267019288	3.0	6.0	8.0
11.0	15.5063559469	2.0	7.0	8.0
12.0	15.2171918002	3.0	8.0	8.0
13.0	14.7969670657	0.0	2.0	6.0
14.0	15.5565592566	1.0	2.0	6.0
15.0	15.5662472867	0.0	1.0	6.0
16.0	15.4315570921	0.0	3.0	6.0
17.0	15.1423449863	0.0	2.0	5.0
18.0	15.1690444936	0.0	1.0	4.0
19.0	15.5035689673	0.0	2.0	7.0
20.0	15.4846337508	2.0	5.0	3.0
21.0	15.511868653	2.0	5.0	5.0
22.0	15.0415439538	0.0	1.0	2.0
23.0	15.5389032033	0.0	2.0	2.0
24.0	15.5140029116	0.0	1.0	1.0
25.0	15.4094521252	0.0	1.0	3.0
26.0	15.3490673206	0.0	11.0	1.0
27.0	16.2063668366	0.0	11.0	11.0
28.0	15.5676873959	3.0	5.0	4.0
29.0	15.1577624287	1.0	5.0	4.0
30.0	15.5846042565	3.0	11.0	1.0
31.0	15.1743687776	3.0	4.0	9.0
32.0	15.5404525464	2.0	4.0	10.0
33.0	15.15314376	3.0	4.0	8.0
34.0	15.5248237838	3.0	5.0	8.0
35.0	14.8335729832	2.0	3.0	8.0
36.0	15.0996104009	2.0	3.0	9.0
37.0	15.3341743909	2.0	4.0	8.0
38.0	15.6600348766	2.0	3.0	7.0
39.0	15.1725512336	1.0	3.0	8.0
40.0	15.0334837757	1.0	2.0	9.0
41.0	14.8696948066	1.0	3.0	9.0
42.0	15.138465438	0.0	3.0	9.0
43.0	15.6647798589	1.0	3.0	10.0
44.0	15.3916059452	0.0	11.0	4.0
45.0	15.3352062183	0.0	8.0	1.0
46.0	15.5622349536	3.0	11.0	6.0
47.0	15.2063353496	0.0	4.0	9.0
48.0	15.5090785093	0.0	6.0	1.0
49.0	15.5617746399	0.0	9.0	3.0
50.0	15.2841213518	0.0	7.0	11.0
51.0	15.4604939677	3.0	8.0	1.0
52.0	15.3665221646	0.0	1.0	9.0
53.0	14.8454861623	3.0	11.0	9.0
54.0	15.222487331	3.0	10.0	9.0
55.0	15.2102366093	3.0	11.0	10.0
