Iteration	Y	var_1	var_2	var_3
1.0	9.08190929726	0.0	4.0	2.0
2.0	9.12225643084	1.0	5.0	4.0
3.0	9.05384250707	0.0	2.0	2.0
4.0	9.13329412951	2.0	5.0	4.0
5.0	9.22667233989	4.0	5.0	1.0
6.0	9.06410601455	0.0	1.0	5.0
7.0	9.05479120021	0.0	1.0	3.0
8.0	9.04593955425	0.0	1.0	1.0
9.0	9.04800749268	0.0	1.0	2.0
10.0	9.02982124213	0.0	2.0	1.0
11.0	8.99525126868	0.0	3.0	1.0
12.0	9.00323842091	0.0	4.0	1.0
13.0	9.07729364087	0.0	5.0	1.0
14.0	8.96068720893	1.0	3.0	1.0
15.0	10.1295020739	2.0	2.0	1.0
16.0	9.03633662735	2.0	5.0	1.0
17.0	8.98271260663	1.0	4.0	1.0
18.0	9.04192462351	0.0	3.0	5.0
19.0	9.07385226574	0.0	5.0	5.0
20.0	9.04412981739	5.0	5.0	5.0
21.0	9.06325524347	3.0	5.0	5.0
22.0	9.04305319134	1.0	5.0	1.0
23.0	9.02697822525	0.0	2.0	4.0
24.0	9.05744089391	4.0	5.0	4.0
25.0	9.06003527146	4.0	5.0	5.0
26.0	9.04045415376	2.0	5.0	2.0
27.0	9.04568025026	5.0	5.0	3.0
28.0	9.04650173104	5.0	5.0	4.0
29.0	9.02663112684	0.0	2.0	5.0
30.0	9.02053420067	4.0	5.0	3.0
