Iteration	Mat32.variance	Mat32.lengthscale	Gaussian_noise.variance
1.0	2.53236945145	3.55685799491	3.5442142795e-09
2.0	2.53236945145	3.55685799491	3.5442142795e-09
3.0	2.53236945145	3.55685799491	3.5442142795e-09
4.0	2.53236945145	3.55685799491	3.5442142795e-09
5.0	2.53236945145	3.55685799491	3.5442142795e-09
6.0	2.53236945145	3.55685799491	3.5442142795e-09
7.0	2.53236945145	3.55685799491	3.5442142795e-09
8.0	2.53236945145	3.55685799491	3.5442142795e-09
9.0	2.53236945145	3.55685799491	3.5442142795e-09
10.0	2.53236945145	3.55685799491	3.5442142795e-09
11.0	2.53236945145	3.55685799491	3.5442142795e-09
12.0	2.53236945145	3.55685799491	3.5442142795e-09
13.0	2.53236945145	3.55685799491	3.5442142795e-09
14.0	27.5025570312	8.47640452571	4.96118253502e-38
15.0	27.5025570312	8.47640452571	4.96118253502e-38
16.0	27.5025570312	8.47640452571	4.96118253502e-38
17.0	27.5025570312	8.47640452571	4.96118253502e-38
18.0	27.5025570312	8.47640452571	4.96118253502e-38
19.0	27.5025570312	8.47640452571	4.96118253502e-38
20.0	27.5025570312	8.47640452571	4.96118253502e-38
21.0	27.5025570312	8.47640452571	4.96118253502e-38
22.0	27.5025570312	8.47640452571	4.96118253502e-38
23.0	27.5025570312	8.47640452571	4.96118253502e-38
24.0	27.5025570312	8.47640452571	4.96118253502e-38
25.0	27.5025570312	8.47640452571	4.96118253502e-38
26.0	63.4800612148	10.3135181484	2.4444459635e-21
27.0	72.5419345236	10.8651086409	2.4444459635e-21
28.0	82.2429230705	11.4111476383	6.13651007373e-45
29.0	82.2429230705	11.4111476383	6.13651007373e-45
30.0	109.59991785	12.6384012186	3.8653721878e-137
31.0	122.481109315	13.190707556	1.3289495698e-210
32.0	135.255365214	13.6778954863	5.56268464627e-309
33.0	146.638878184	14.0460306823	4.27850835718e-72
34.0	161.816239156	14.5814818872	9.77695461104e-44
35.0	177.362915839	15.0846575748	1.34666582086e-89
36.0	194.964936224	15.6140053317	7.36428391328e-24
37.0	213.16435242	16.1453945341	5.56268464627e-309
38.0	239.012619359	16.7981157847	2.69071287474e-200
39.0	259.942900381	17.3321734124	2.69071287474e-200
40.0	281.524270283	17.8407798753	1.2708122936e-125
41.0	304.697608119	18.3708991722	7.8633445325e-126
42.0	328.798446444	18.8814042724	1.69892446006e-302
43.0	353.661610715	19.3830077133	5.90807023283e-209
44.0	380.335360184	19.9100182577	1.56400316887e-27
45.0	408.417377153	20.4339053104	8.96528443736e-20
46.0	437.778533858	20.9581716903	7.87751326953e-180
47.0	468.424104907	21.4827964551	5.56268464627e-309
48.0	499.834867322	21.9949024663	1.70670745236e-17
49.0	533.076476333	22.5174122914	1.5662841374e-205
50.0	567.838485504	23.0373922104	5.56268464627e-309
51.0	603.954616955	23.5580660164	3.77238791891e-51
52.0	641.018159987	24.0653236366	5.56268464627e-309
53.0	671.766956971	24.4221340494	5.56268464627e-309
54.0	711.701650489	24.9377280082	5.56268464627e-309
55.0	753.4628932	25.4532869781	5.56268464627e-309
56.0	798.118894443	25.981565388	2.14515892262e-48
57.0	842.873651804	26.4967063519	5.56268464627e-309
58.0	879.675589714	26.7952523479	1.42299629934e-266
59.0	925.597569124	27.279388955	5.56268464627e-309
60.0	975.866674225	27.7965138462	5.56268464627e-309
61.0	1025.56781686	28.2916137562	4.88260659401e-51
62.0	1080.4634976	28.8097788064	1.64879320003e-159
63.0	1134.67076884	29.318511412	1.24480765005e-132
64.0	1190.99555057	29.8238624722	2.13649926143e-296
65.0	1249.53648893	30.3307730191	5.56268464627e-309
66.0	1308.43260191	30.794857326	5.56268464627e-309
67.0	1369.72527725	31.3013484175	5.56268464627e-309
68.0	1432.85528741	31.8074793549	5.56268464627e-309
69.0	1498.51767411	32.3110392596	5.56268464627e-309
70.0	1568.3009924	32.8172998674	5.56268464627e-309
71.0	1637.41950074	33.3229223432	5.56268464627e-309
72.0	1705.96631562	33.7970248465	5.56268464627e-309
73.0	1780.27942831	34.2993881584	5.56268464627e-309
74.0	1853.80570261	34.789265849	5.56268464627e-309
75.0	1927.24509254	35.2575810026	5.56268464627e-309
76.0	2039.93880312	35.8364043984	5.56268464627e-309
77.0	2123.49923525	36.3428293441	5.56268464627e-309
78.0	2208.00758796	36.8472159319	8.08956901563e-264
79.0	2295.03372985	37.3510441471	5.56268464627e-309
80.0	2383.69250085	37.8539802665	5.56268464627e-309
81.0	2475.39136735	38.3607149376	5.56268464627e-309
82.0	2568.577831	38.861829121	1.1775368858e-14
83.0	2664.97739113	39.364823841	5.56268464627e-309
84.0	2758.17190945	39.8157206102	5.56268464627e-309
85.0	2859.73277532	40.3175868265	5.56268464627e-309
86.0	2957.37335178	40.6109226663	5.48146278099e-77
87.0	3047.23984784	40.9804254951	5.56268464627e-309
88.0	3184.48855646	41.5150566056	5.56268464627e-309
89.0	3184.48855646	41.5150566056	5.56268464627e-309
90.0	3759.25728285	43.4808435945	5.56268464627e-309
91.0	3887.31580099	43.9934015876	5.56268464627e-309
92.0	4017.62821698	44.5010191514	5.56268464627e-309
93.0	4152.3777355	45.0155562531	5.56268464627e-309
94.0	4289.2373383	45.5288269416	5.56268464627e-309
95.0	4428.46533315	46.0384756235	5.56268464627e-309
96.0	4570.94593483	46.550716608	5.56268464627e-309
97.0	4716.47650945	47.0628877386	5.56268464627e-309
98.0	4863.72424986	47.5711501637	5.56268464627e-309
99.0	5087.39625426	48.2925632945	5.18478484865e-205
100.0	5087.39625426	48.2925632945	5.18478484865e-205
101.0	5659.09235723	49.6208846148	5.56268464627e-309
102.0	5833.76480711	50.1498003374	5.56268464627e-309
103.0	5979.0317627	50.5690478954	2.9329462357e-17
104.0	6155.70202944	51.080880793	5.56268464627e-309
105.0	6334.2605701	51.5921009604	5.56268464627e-309
106.0	6516.32486068	52.0949946338	5.56268464627e-309
107.0	6703.43259783	52.6094472493	5.56268464627e-309
108.0	6893.16319097	53.1176753246	5.56268464627e-309
109.0	7092.97597727	53.6135069204	5.56268464627e-309
110.0	7284.87742001	54.1090288799	5.56268464627e-309
111.0	7497.17027895	54.6489625935	5.56268464627e-309
112.0	7497.17027895	54.6489625935	5.56268464627e-309
113.0	7497.17027895	54.6489625935	5.56268464627e-309
114.0	7497.17027895	54.6489625935	5.56268464627e-309
115.0	7497.17027895	54.6489625935	5.56268464627e-309
116.0	10007.2619001	58.1197773536	3.64337970627e-287
117.0	10294.5961415	58.4177282852	5.56268464627e-309
118.0	10565.5874063	58.9403548528	1.32679624478e-106
119.0	11027.6285878	59.4795861892	5.56268464627e-309
120.0	11316.9221479	60.0157896966	5.56268464627e-309
121.0	11606.0286347	60.5416053074	5.56268464627e-309
122.0	11896.1405013	61.0616437034	5.56268464627e-309
123.0	12188.439337	61.5744238003	5.56268464627e-309
124.0	12503.3116924	62.1096682427	5.56268464627e-309
125.0	12814.2316619	62.63433954	5.56268464627e-309
126.0	13122.7440104	63.1519718829	5.56268464627e-309
127.0	13456.5921053	63.6974340303	5.56268464627e-309
128.0	13784.0984308	64.2285748706	5.56268464627e-309
129.0	13784.0984308	64.2285748706	5.56268464627e-309
130.0	14543.7991123	64.2919525452	5.56268464627e-309
131.0	14820.2577035	64.6223551352	7.81252550914e-118
132.0	15167.41722	65.1376847891	5.56268464627e-309
133.0	15167.41722	65.1376847891	5.56268464627e-309
134.0	15167.41722	65.1376847891	5.56268464627e-309
135.0	17287.4559922	66.5734179382	1.21168011224e-293
136.0	17726.3261585	67.1237731543	5.56268464627e-309
137.0	18129.4208985	67.6471544932	5.56268464627e-309
138.0	18534.3094949	68.1640329026	5.56268464627e-309
139.0	18940.3525261	68.671622154	5.56268464627e-309
140.0	19361.6751089	69.1947460487	5.56268464627e-309
141.0	19777.9096525	69.6975730815	5.56268464627e-309
142.0	20227.5138796	70.2351555916	5.56268464627e-309
143.0	20670.868055	70.7611175327	5.56268464627e-309
144.0	21215.6936902	71.3070393885	5.56268464627e-309
145.0	21605.0545708	71.7066096639	5.15646401248e-138
146.0	22082.0039217	72.241460763	5.56268464627e-309
147.0	22082.0039217	72.241460763	5.56268464627e-309
148.0	22082.0039217	72.241460763	5.56268464627e-309
149.0	22082.0039217	72.241460763	5.56268464627e-309
150.0	24061.4831031	72.0819922465	5.56268464627e-309
151.0	24061.4831031	72.0819922465	5.56268464627e-309
152.0	24770.058246	71.6901375633	5.56268464627e-309
153.0	25295.6654956	72.2056720408	5.56268464627e-309
154.0	25295.6654956	72.2056720408	5.56268464627e-309
155.0	28271.3523297	74.483280338	5.56268464627e-309
156.0	28883.1054903	74.9993883213	5.56268464627e-309
157.0	29444.5484273	75.5008709238	5.56268464627e-309
158.0	29444.5484273	75.5008709238	5.56268464627e-309
159.0	29444.5484273	75.5008709238	5.56268464627e-309
160.0	29444.5484273	75.5008709238	5.56268464627e-309
161.0	34293.9233896	76.9567479981	5.56268464627e-309
162.0	35114.9519067	77.567229495	5.56268464627e-309
163.0	35740.5355222	78.0362169387	5.56268464627e-309
164.0	36470.8146934	78.576945015	5.56268464627e-309
165.0	37159.4941781	79.0831903095	5.56268464627e-309
166.0	37824.6251404	79.5577188813	5.56268464627e-309
167.0	38359.3107628	79.7923097401	5.56268464627e-309
168.0	38359.3107628	79.7923097401	5.56268464627e-309
169.0	38359.3107628	79.7923097401	5.56268464627e-309
170.0	38359.3107628	79.7923097401	5.56268464627e-309
171.0	38359.3107628	79.7923097401	5.56268464627e-309
172.0	41934.3038263	80.3871964122	5.56268464627e-309
173.0	42640.2795833	80.846469443	5.56268464627e-309
174.0	43444.0241557	81.360400331	5.56268464627e-309
175.0	44113.7244856	81.7872690901	5.56268464627e-309
176.0	44113.7244856	81.7872690901	5.56268464627e-309
177.0	44113.7244856	81.7872690901	5.56268464627e-309
178.0	44886.0279949	80.7788421223	5.56268464627e-309
179.0	45677.7225658	81.2531882031	5.56268464627e-309
180.0	46483.7366188	81.7457898399	5.56268464627e-309
181.0	47210.4918794	82.1821997633	5.56268464627e-309
182.0	48136.4554687	82.7318602853	5.56268464627e-309
183.0	48756.6118729	83.0914306909	5.56268464627e-309
184.0	48756.6118729	83.0914306909	5.56268464627e-309
185.0	52005.9809488	84.0240028758	5.56268464627e-309
186.0	52419.2424532	83.9020016855	5.56268464627e-309
187.0	54077.5105992	84.5366775166	5.56268464627e-309
188.0	54837.6557129	84.9451225204	5.56268464627e-309
189.0	55889.8451506	85.4990969	5.56268464627e-309
190.0	56721.4391671	85.9362050242	5.56268464627e-309
191.0	57646.4466137	86.4034195816	5.56268464627e-309
192.0	58614.0117964	86.8923724139	5.56268464627e-309
193.0	59601.3492056	87.3880584002	5.56268464627e-309
194.0	60473.3072473	87.8256045752	5.56268464627e-309
195.0	61138.78083	88.153693224	5.56268464627e-309
196.0	62265.2666137	88.6142392968	5.56268464627e-309
197.0	63199.8689027	89.0678455032	5.56268464627e-309
198.0	64212.7337756	89.5448379565	5.56268464627e-309
199.0	66060.2526494	90.3357499189	5.56268464627e-309
200.0	66060.2526494	90.3357499189	5.56268464627e-309
201.0	66060.2526494	90.3357499189	5.56268464627e-309
