Iteration	Y	var_1	var_2	var_3
1.0	11.2205780536	0.0	7.0	8.0
2.0	11.2200314841	0.0	3.0	2.0
3.0	11.2205780536	0.0	7.0	10.0
4.0	11.2007612702	1.0	3.0	8.0
5.0	11.1968462708	1.0	10.0	2.0
6.0	11.2250536808	1.0	10.0	1.0
7.0	11.2150130286	1.0	10.0	3.0
8.0	11.1980781925	1.0	2.0	9.0
9.0	11.1989875446	1.0	2.0	8.0
10.0	11.2199346853	0.0	2.0	9.0
11.0	11.199921001	2.0	3.0	9.0
12.0	11.2014312751	2.0	3.0	8.0
13.0	11.2004645068	2.0	3.0	10.0
14.0	11.1975043868	1.0	2.0	6.0
15.0	11.1987205957	2.0	3.0	6.0
16.0	11.1980120497	1.0	3.0	6.0
17.0	11.2002275463	1.0	2.0	7.0
18.0	11.200495074	1.0	2.0	5.0
19.0	11.198146361	2.0	4.0	5.0
20.0	11.2044956486	2.0	3.0	5.0
21.0	11.2025723703	2.0	4.0	6.0
22.0	11.1991740421	2.0	5.0	4.0
23.0	11.2184206061	2.0	5.0	5.0
24.0	11.204947109	2.0	5.0	3.0
25.0	11.2003144729	2.0	4.0	4.0
26.0	11.2225562431	0.0	1.0	6.0
27.0	11.2135833983	2.0	3.0	7.0
28.0	11.196717009	1.0	4.0	5.0
29.0	11.1999407486	1.0	3.0	5.0
30.0	11.2199695115	0.0	4.0	5.0
31.0	11.2198534082	2.0	10.0	10.0
32.0	11.1967937303	1.0	2.0	10.0
33.0	11.1989123159	1.0	3.0	10.0
34.0	11.1999484156	1.0	3.0	9.0
35.0	11.2241256338	2.0	7.0	2.0
36.0	11.2200280138	0.0	10.0	2.0
37.0	11.1971066319	2.0	10.0	2.0
38.0	11.2193271313	2.0	5.0	10.0
39.0	11.1990463751	1.0	4.0	4.0
40.0	11.1960720964	1.0	5.0	4.0
