Iteration	Y	var_1	var_2	var_3
1.0	11.1982936222	4.0	5.0	4.0
2.0	11.20534024	1.0	3.0	4.0
3.0	11.1993074418	1.0	3.0	3.0
4.0	11.2058828935	3.0	4.0	5.0
5.0	11.2852499047	2.0	3.0	1.0
6.0	11.2058469706	3.0	5.0	4.0
7.0	11.1977395369	4.0	5.0	5.0
8.0	11.2403978153	0.0	3.0	3.0
9.0	11.2180979201	2.0	3.0	4.0
10.0	11.2052768449	3.0	5.0	5.0
11.0	11.2222644947	4.0	5.0	3.0
12.0	11.2025103916	1.0	5.0	5.0
13.0	11.222700432	1.0	5.0	4.0
14.0	11.2221174958	1.0	4.0	5.0
15.0	11.2017556299	1.0	2.0	4.0
16.0	11.2410250949	0.0	1.0	5.0
17.0	11.2372962349	1.0	2.0	3.0
18.0	11.222022626	2.0	5.0	5.0
19.0	11.2386885635	0.0	5.0	5.0
20.0	11.2084855387	3.0	4.0	4.0
21.0	11.2050085803	1.0	2.0	5.0
22.0	11.2054219646	1.0	4.0	3.0
23.0	11.2146513993	2.0	4.0	3.0
24.0	11.2391848981	0.0	5.0	1.0
25.0	11.225393223	2.0	3.0	5.0
26.0	11.3070646142	4.0	5.0	1.0
27.0	11.2459977064	0.0	3.0	5.0
28.0	11.2256408805	2.0	4.0	4.0
29.0	11.2252063408	2.0	3.0	3.0
30.0	11.2410008907	0.0	1.0	1.0
31.0	11.2516083352	2.0	5.0	3.0
32.0	11.220017087	1.0	4.0	4.0
33.0	11.2412068763	0.0	5.0	3.0
34.0	11.2450880876	3.0	4.0	3.0
35.0	11.2469182414	0.0	1.0	3.0
36.0	11.2163002053	1.0	4.0	2.0
37.0	11.2410088216	0.0	3.0	1.0
38.0	11.2059525624	1.0	3.0	5.0
39.0	11.2388850383	0.0	4.0	2.0
40.0	11.2219724235	2.0	4.0	5.0
41.0	11.2412922683	0.0	2.0	4.0
42.0	11.2141880291	1.0	5.0	2.0
43.0	11.2205453622	1.0	5.0	1.0
44.0	11.2735070461	2.0	5.0	1.0
45.0	11.2016616106	1.0	3.0	2.0
46.0	11.2181861784	1.0	2.0	2.0
47.0	11.2356405682	0.0	2.0	2.0
48.0	11.2753615687	1.0	2.0	1.0
49.0	11.2244585259	2.0	5.0	4.0
50.0	11.2436881379	1.0	5.0	3.0
51.0	11.2472016882	0.0	4.0	4.0
52.0	11.2392444492	0.0	3.0	2.0
53.0	11.2386885635	0.0	5.0	2.0
54.0	11.2343366524	1.0	4.0	1.0
55.0	11.2404006649	0.0	2.0	5.0
56.0	11.240525907	0.0	1.0	2.0
57.0	11.2318916066	2.0	4.0	2.0
58.0	11.2287708761	2.0	3.0	2.0
59.0	11.2358973066	0.0	4.0	1.0
60.0	11.2382111648	3.0	5.0	3.0
61.0	11.2410008907	0.0	1.0	4.0
62.0	11.232563978	0.0	5.0	4.0
63.0	11.2356405682	0.0	4.0	3.0
64.0	11.2356405682	0.0	4.0	5.0
65.0	11.2356405682	0.0	3.0	4.0
66.0	11.2405987196	0.0	2.0	3.0
67.0	11.2366247797	0.0	2.0	1.0
68.0	11.2227415582	2.0	5.0	2.0
69.0	11.251762299	3.0	4.0	2.0
70.0	11.2470804573	3.0	5.0	2.0
71.0	11.2542247118	1.0	3.0	1.0
72.0	11.2449800114	4.0	5.0	2.0
73.0	11.3065352169	3.0	4.0	1.0
74.0	11.2685865273	2.0	4.0	1.0
75.0	11.288361302	3.0	5.0	1.0
