Iteration	Y	var_1	var_2	var_3
1.0	11.2639246208	1.15233131595	6.0	5.0
2.0	11.2647435733	5.49322812588	9.0	2.0
3.0	11.2724468887	2.75858621528	4.0	8.0
4.0	11.2652732413	3.13559797577	10.0	11.0
5.0	11.2657636287	2.19565523397	10.0	10.0
6.0	11.2693664548	1.0	6.0	4.0
7.0	11.2698438699	1.04849977352	6.0	6.0
8.0	11.2639613192	1.68897300596	6.0	5.0
9.0	11.2649131785	6.63830176689	9.0	3.0
10.0	11.2649771108	5.32583557599	10.0	3.0
11.0	11.2644227608	6.65644746988	10.0	2.0
12.0	11.2965321423	7.04650942709	9.0	1.0
13.0	11.2647244606	6.51392146973	10.0	3.0
14.0	11.2719042927	4.67897374268	8.0	3.0
15.0	11.2651052559	5.62640151423	10.0	2.0
16.0	11.2650878254	4.14940359477	10.0	9.0
17.0	11.2651674903	5.19433469659	10.0	11.0
18.0	11.2722351997	4.34198513494	8.0	10.0
19.0	11.2649468807	6.29487434198	10.0	9.0
20.0	11.2651665403	7.27223390379	10.0	11.0
21.0	11.264935899	8.29603255112	10.0	9.0
22.0	11.2649441557	7.31805486722	10.0	7.0
23.0	11.2650336354	5.33540874518	10.0	7.0
24.0	11.264818654	7.14834480385	9.0	5.0
25.0	11.2718813687	6.99988232674	8.0	7.0
26.0	11.264689463	8.29278526197	10.0	5.0
27.0	11.2647338987	6.53254944973	10.0	5.0
28.0	11.2649206814	8.99999949431	10.0	7.0
29.0	11.2650431078	8.99999999663	10.0	11.0
30.0	11.2649915815	3.15743688061	10.0	7.0
31.0	11.2651045357	1.0	10.0	7.0
32.0	11.2648124945	1.59936649475	10.0	5.0
33.0	11.2648255953	3.42324755367	10.0	5.0
34.0	11.2649470151	2.21118316363	9.0	6.0
35.0	11.2647836569	1.0	10.0	3.0
36.0	11.2634704291	1.0	10.0	1.0
37.0	11.2705767919	2.33507385648	10.0	1.0
38.0	11.2709050151	1.0	9.0	1.0
39.0	11.2648368907	4.41696269542	10.0	6.0
40.0	11.2658248963	1.0	10.0	11.0
41.0	11.2972925066	1.99985454295	3.0	1.0
42.0	11.2719134754	1.05133844165	8.0	5.0
43.0	11.2650197975	2.35048893427	10.0	6.0
44.0	11.2657576189	2.04047341613	10.0	8.0
45.0	11.2650059651	7.99995823771	9.0	10.0
46.0	11.2646793332	7.62052801022	10.0	4.0
47.0	11.2727292254	1.0	8.0	11.0
48.0	11.2648831518	3.61133156332	9.0	6.0
49.0	11.2647448186	6.24028899236	9.0	4.0
50.0	11.2722299174	6.99961384899	8.0	11.0
51.0	11.2650108853	7.7808147396	10.0	10.0
52.0	11.2648285739	2.4040442676	10.0	4.0
53.0	11.26471524	7.78644534573	10.0	6.0
54.0	11.2648110993	1.0	10.0	2.0
55.0	11.264871661	1.0	3.0	11.0
56.0	11.2725096853	2.52060155711	4.0	11.0
57.0	11.2650108853	8.99822552395	10.0	10.0
58.0	11.264778763	5.14122159888	10.0	5.0
59.0	11.2647709305	8.99999457526	10.0	4.0
60.0	11.2649120312	7.99996158862	9.0	4.0
61.0	11.2650233751	4.65010744153	10.0	8.0
62.0	11.2652218383	1.57474783662	5.0	5.0
63.0	11.265581851	1.0	10.0	9.0
64.0	11.2648477773	6.13007924593	10.0	6.0
65.0	11.2648693065	8.99999999309	10.0	6.0
66.0	11.2650770819	5.68433189477	10.0	10.0
67.0	11.2648422829	5.7842172869	9.0	3.0
68.0	11.2720168441	3.18112158679	8.0	7.0
69.0	11.2650108853	8.99978283494	10.0	8.0
70.0	11.2648934644	2.94249490589	9.0	5.0
71.0	11.264935899	7.58192089937	10.0	8.0
72.0	11.2660148302	1.0	3.0	6.0
73.0	11.2651682462	1.0	3.0	9.0
74.0	11.2659336845	1.0	3.0	10.0
75.0	11.2646914088	4.07486277827	10.0	4.0
76.0	11.2648332537	4.4411201786	9.0	5.0
77.0	11.2649468807	6.05400052526	10.0	8.0
78.0	11.265023359	1.0	10.0	4.0
79.0	11.2651243164	3.99993449916	5.0	5.0
80.0	11.2722908703	2.99999928515	4.0	5.0
81.0	11.2698277524	4.99999391535	6.0	5.0
82.0	11.2650878254	4.29969339412	10.0	10.0
83.0	11.2648397738	7.08179193168	9.0	4.0
84.0	11.2652794621	1.0	10.0	6.0
85.0	11.2698237308	3.01658540292	6.0	5.0
86.0	11.2653846242	1.0	3.0	8.0
87.0	11.2648816794	5.21029771521	10.0	9.0
88.0	11.2649265771	5.76083905691	9.0	5.0
89.0	11.2647650155	7.9999490123	9.0	5.0
90.0	11.2650020206	7.99986549876	9.0	9.0
91.0	11.2647019484	3.58948295831	10.0	3.0
92.0	11.2646707729	4.4699690784	10.0	2.0
93.0	11.2647091443	7.47465326201	10.0	3.0
94.0	11.2649454574	3.4164144709	10.0	6.0
95.0	11.264705194	4.40746514918	10.0	3.0
96.0	11.2644630245	2.0873717714	10.0	3.0
97.0	11.2652510734	3.01715407951	10.0	9.0
98.0	11.2648874458	4.96944079328	9.0	6.0
99.0	11.2650828875	4.18335127341	10.0	7.0
100.0	11.2650866764	7.26695573473	10.0	9.0
101.0	11.2651057802	4.15898233039	10.0	11.0
102.0	11.2646719231	7.40867562469	10.0	5.0
103.0	11.2647114439	8.9998868245	10.0	5.0
104.0	11.2644779968	4.80600869037	9.0	2.0
105.0	11.2649301232	8.18807943156	10.0	7.0
